step,train_lm_loss,grad_norm,ce_tokens,input_tokens,vision_tokens,mtp_target_tokens,step_seconds
201,1.3000190665847378,1.591884970664978,3154,14325,2760,1080,0.41663702949881554
202,1.1790744680911303,1.783192753791809,3170,14389,2768,1086,0.3500818070024252
203,0.6754008889198303,1.2061851024627686,3185,14460,2784,1091,0.3704215530306101
204,1.2876145243644714,1.9058043956756592,3204,14535,2792,1098,0.4109365679323673
205,1.0582138478755951,1.108668327331543,3219,14608,2808,1103,0.37401699647307396
206,0.72931187748909,1.193474531173706,3234,14689,2832,1108,0.3965482600033283
207,0.8506320059299469,1.0808571577072144,3249,14756,2844,1113,0.36031616665422916
208,0.5122013911604881,1.2151243686676025,3261,14821,2864,1117,0.3207431323826313
209,0.8350676000118256,1.3345247507095337,3276,14888,2876,1122,0.3608635142445564
210,0.8729431331157684,1.0996416807174683,3291,14955,2888,1127,0.35853563994169235
211,0.932904064655304,1.2643318176269531,3306,15022,2900,1132,0.35822102054953575
212,0.9327074527740479,1.447137713432312,3321,15089,2912,1137,0.3597890231758356
213,0.8520887911319732,0.9409353733062744,3336,15156,2924,1142,0.35873372480273247
214,0.9291881670554479,1.084643840789795,3354,15234,2936,1148,0.4183592312037945
215,0.8768364638090134,2.6487956047058105,3370,15312,2956,1154,0.3879786282777786
216,0.7513876557350159,1.094031572341919,3385,15379,2968,1159,0.3576775547116995
217,1.1289306910414445,2.1314806938171387,3404,15459,2980,1166,0.4242013320326805
218,1.2151045699914296,1.696768045425415,3422,15529,2984,1172,0.39929941296577454
219,0.7750467658042908,1.1265982389450073,3437,15596,2996,1177,0.35838435776531696
220,0.7973070815205574,2.3194799423217773,3449,15662,3016,1181,0.32437240332365036
221,1.1055257289033187,2.0082294940948486,3468,15737,3024,1188,0.4154181703925133
222,0.7157599031925201,1.4171946048736572,3483,15809,3040,1193,0.3752210922539234
223,0.6101463913917542,0.9841820001602173,3498,15885,3060,1198,0.38519125431776047
224,0.8821947444230318,1.430127739906311,3514,15958,3076,1204,0.38012967072427273
225,0.5836620628833771,0.9613257050514221,3529,16034,3096,1209,0.3891229163855314
226,0.4807164669036865,1.1733767986297607,3544,16110,3116,1214,0.39246127009391785
227,0.7256405770778656,1.09378981590271,3559,16182,3132,1219,0.3782134894281626
228,1.1333897380452407,1.5509229898452759,3578,16257,3140,1226,0.41569583490490913
229,0.6964001774787902,1.0482772588729858,3593,16324,3152,1231,0.3644381146878004
230,0.9003522098064423,1.0807479619979858,3608,16392,3164,1236,0.3657359890639782
231,0.4028674066066742,1.342029333114624,3620,16457,3184,1240,0.3261899333447218
232,0.8720455348491669,1.3245543241500854,3635,16525,3196,1245,0.3673271033912897
233,0.7497477978467941,1.099349021911621,3650,16592,3208,1250,0.3637607414275408
234,0.7109540730714798,0.9893963932991028,3665,16664,3224,1255,0.4017639923840761
235,0.8413496613502502,1.3428395986557007,3683,16747,3240,1261,0.45195168629288673
236,0.9506097336610159,0.9763256311416626,3701,16821,3248,1267,0.42135394737124443
237,1.0339115234091878,2.6352016925811768,3717,16885,3256,1273,0.36025726795196533
238,0.3916363179683685,1.2927213907241821,3732,16960,3276,1278,0.39900744147598743
239,0.8319322109222412,1.4286081790924072,3747,17028,3288,1283,0.36039880476891994
240,0.513191819190979,1.0037554502487183,3759,17094,3308,1287,0.3242094963788986
241,0.7659729979932308,2.6943771839141846,3775,17162,3320,1293,0.37176660634577274
242,0.9393021414677302,1.1070010662078857,3793,17236,3328,1299,0.4292901623994112
243,0.6663892805576325,1.033039927482605,3808,17313,3348,1304,0.38562891259789467
244,0.7634326641758283,0.9294829964637756,3826,17391,3360,1310,0.43906600400805473
245,0.3142290234565735,1.1009092330932617,3841,17466,3380,1315,0.4004460033029318
246,0.6724020332098007,0.8199558258056641,3856,17538,3396,1320,0.39862619526684284
247,0.7342487002412478,1.0633723735809326,3874,17616,3408,1326,0.41904420033097267
248,0.9058107137680054,1.0644714832305908,3892,17690,3416,1332,0.40777344070374966
249,0.4657092452049255,1.2353581190109253,3907,17766,3436,1337,0.4025601428002119
250,0.8993764547631145,3.170668125152588,3923,17830,3444,1343,0.3705792799592018
251,0.9505008226260543,1.9983959197998047,3939,17899,3456,1349,0.36000080965459347
252,0.7210145771503449,1.5066418647766113,3954,17966,3468,1354,0.3564998358488083
253,0.787695636972785,1.6788380146026611,3970,18034,3480,1360,0.36791615560650826
254,0.8242746988932291,1.2015265226364136,3988,18108,3488,1366,0.43453820794820786
255,0.4183733105659485,0.7042794227600098,4003,18179,3504,1371,0.37049225717782974
256,0.9731175392866135,1.0546506643295288,4018,18243,3512,1376,0.34604521468281746
257,0.8215940862894058,1.1947972774505615,4033,18311,3524,1381,0.3637672681361437
258,0.5465943962335587,1.2451921701431274,4048,18378,3536,1386,0.3900317717343569
259,0.48835458755493166,1.2796807289123535,4063,18454,3556,1391,0.3935252781957388
260,0.40014177188277245,1.1391043663024902,4075,18520,3576,1395,0.3232287336140871
261,0.8553772245844206,1.2586084604263306,4093,18599,3588,1401,0.42149956338107586
262,0.2237863652408123,0.6972217559814453,4105,18664,3608,1405,0.3431012649089098
263,0.3910001218318939,0.9256850481033325,4120,18735,3624,1410,0.3882238417863846
264,1.1588625118136406,2.698169231414795,4140,18807,3628,1418,0.3998492006212473
265,0.5725327283143997,1.4574449062347412,4155,18879,3644,1423,0.3697677254676819
266,0.3633822500705719,1.0112799406051636,4170,18950,3660,1428,0.376905819401145
267,0.3740566521883011,0.876923143863678,4182,19021,3684,1432,0.3420509658753872
268,0.5357578158378601,0.7347232103347778,4197,19093,3700,1437,0.3913030680269003
269,0.6326263308525085,1.392776608467102,4212,19160,3712,1442,0.37848084419965744
270,1.0710483118891716,2.933030366897583,4232,19232,3716,1450,0.4239641986787319
271,0.6751193343661726,1.7644294500350952,4248,19305,3732,1456,0.38283061794936657
272,0.698558739076058,1.3179192543029785,4266,19383,3744,1462,0.42626048251986504
273,0.8110734609266123,1.192244529724121,4284,19457,3752,1468,0.427833816036582
274,0.3897334456443787,0.8311749696731567,4299,19533,3772,1473,0.398017019033432
275,0.5715631380677223,9.295418739318848,4314,19600,3784,1478,0.36255417950451374
276,0.6032641842961312,1.1401368379592896,4329,19667,3796,1483,0.36239892058074474
277,0.8283400920530161,1.8654274940490723,4347,19741,3804,1489,0.44001361913979053
278,0.33384103029966355,0.7171049118041992,4362,19817,3824,1494,0.4023569729179144
279,0.548201534152031,0.9610035419464111,4377,19889,3840,1499,0.3744092844426632
280,0.7298138335347175,0.9593513011932373,4392,19957,3852,1504,0.37904964573681355
281,0.694788247346878,0.9931180477142334,4410,20035,3864,1510,0.43517614901065826
282,0.5116714268922806,1.0392879247665405,4425,20112,3884,1515,0.3865541648119688
283,0.8706315294839442,2.1548492908477783,4441,20176,3892,1521,0.35211624950170517
284,0.5498238578438759,0.9353859424591064,4456,20243,3904,1526,0.36243291944265366
285,0.737260514870286,2.4554038047790527,4472,20307,3912,1532,0.3522730879485607
286,0.5583885684609413,0.9827513694763184,4487,20374,3924,1537,0.36735457740724087
287,0.46232786774635315,1.1055595874786377,4502,20441,3936,1542,0.3659255560487509
288,0.7605623863637447,1.00742769241333,4520,20515,3944,1548,0.4111754409968853
289,0.11901582591235638,0.48039019107818604,4532,20585,3968,1552,0.338408213108778
290,0.6866899311542511,1.1267766952514648,4547,20653,3980,1557,0.3702236171811819
291,0.5416178777813911,0.8696089386940002,4562,20720,3992,1562,0.3651657924056053
292,0.1667061746120453,0.5478843450546265,4574,20785,4012,1566,0.32958644442260265
293,0.5739070628769696,1.4414126873016357,4590,20858,4028,1572,0.38282453641295433
294,0.8933678728838762,1.057631492614746,4608,20928,4032,1578,0.40505506098270416
295,0.28532433360815046,0.6049408316612244,4623,20999,4048,1583,0.3710573576390743
296,0.6643140524625778,1.027103066444397,4638,21067,4060,1588,0.3666910231113434
297,0.7800272642634809,1.696558952331543,4654,21131,4068,1594,0.35229100845754147
